  x        ,A_vet_1        ,A_vet_2        ,A_vet_3        ,A_vet_4        ,A_vet_5
 28.4000,   0.0000019908,  -0.5754335350,  -0.7949026751,   1.4278729194,  -1.4401979396
 28.8000,   0.0000015045,  -0.5528693612,  -0.8227252232,   1.4509215828,  -1.4080608792
 29.2000,   0.0000011372,  -0.5311897727,  -0.8502070803,   1.4716871466,  -1.3711376215
 29.6000,   0.0000008593,  -0.5103601233,  -0.8773391072,   1.4901328346,  -1.3295596289
 30.0000,   0.0000006496,  -0.4903470838,  -0.9041079982,   1.5062337217,  -1.2834622957
 30.4000,   0.0000004908,  -0.4711186627,  -0.9305048380,   1.5199604709,  -1.2330080543
 30.8000,   0.0000003711,  -0.4526440846,  -0.9565166725,   1.5312954631,  -1.1783625859
 31.2000,   0.0000002803,  -0.4348938126,  -0.9821348380,   1.5402169552,  -1.1197171949
 31.6000,   0.0000002120,  -0.4178394323,  -1.0073467467,   1.5467147876,  -1.0572655129
 32.0000,   0.0000001601,  -0.4014536749,  -1.0321440124,   1.5507749170,  -0.9912252192
 32.4000,   0.0000001211,  -0.3857103072,  -1.0565144272,   1.5523947463,  -0.9218151805
 32.8000,   0.0000000914,  -0.3705841557,  -1.0804499067,   1.5515679889,  -0.8492765900
 33.2000,   0.0000000692,  -0.3560510013,  -1.1039386355,   1.5482996635,  -0.7738504926
 33.6000,   0.0000000522,  -0.3420876059,  -1.1269728538,   1.5425912484,  -0.6957984108
 34.0000,   0.0000000396,  -0.3286716102,  -1.1495411513,   1.5344553806,  -0.6153802109
 34.4000,   0.0000000298,  -0.3157815628,  -1.1716361140,   1.5239012633,  -0.5328742814
 34.8000,   0.0000000226,  -0.3033968217,  -1.1932467480,   1.5109491051,  -0.4485556989
 35.2000,   0.0000000170,  -0.2914975851,  -1.2143660059,   1.4956157458,  -0.3627160224
 35.6000,   0.0000000130,  -0.2800647965,  -1.2349833213,   1.4779288697,  -0.2756417232
 36.0000,   0.0000000097,  -0.2690801769,  -1.2550920322,   1.4579128171,  -0.1876336547
 36.4000,   0.0000000074,  -0.2585261334,  -1.2746820105,   1.4356026047,  -0.0989857130
 36.8000,   0.0000000055,  -0.2483857927,  -1.2937469980,   1.4110298904,  -0.0100040425
 37.2000,   0.0000000043,  -0.2386429133,  -1.3122773144,   1.3842368323,   0.0790141051
 37.6000,   0.0000000031,  -0.2292819196,  -1.3302671228,   1.3552621778,   0.1677613717
 38.0000,   0.0000000025,  -0.2202878171,  -1.3477072003,   1.3241549901,   0.2559412633
 38.4000,   0.0000000017,  -0.2116462285,  -1.3645921474,   1.2909608333,   0.3432493028
 38.8000,   0.0000000014,  -0.2033433105,  -1.3809132073,   1.2557353959,   0.4293938568
 39.2000,   0.0000000010,  -0.1953657916,  -1.3966654336,   1.2185307431,   0.5140773851
 39.6000,   0.0000000009,  -0.1877008912,  -1.4118405433,   1.1794088662,   0.5970171507
 40.0000,   0.0000000005,  -0.1803363589,  -1.4264340579,   1.1384279759,   0.6779265131
 40.4000,   0.0000000005,  -0.1732603950,  -1.4404381757,   1.0956560042,   0.7565355469
 40.8000,   0.0000000003,  -0.1664616913,  -1.4538488996,   1.0511569124,   0.8325723258
 41.2000,   0.0000000003,  -0.1599293536,  -1.4666589155,   1.0050041736,   0.9057834767
 41.6000,   0.0000000001,  -0.1536529437,  -1.4788647213,   0.9572670690,   0.9759154031
 42.0000,   0.0000000002,  -0.1476224032,  -1.4904594961,   0.9080241784,   1.0427348001
 42.4000,   0.0000000000,  -0.1418280968,  -1.5014402446,   0.8573496383,   1.1060097670
 42.8000,   0.0000000001,  -0.1362607375,  -1.5118006438,   0.8053266687,   1.1655303115
 43.2000,  -0.0000000000,  -0.1309114314,  -1.5215382172,   0.7520337664,   1.2210892999
 43.6000,   0.0000000001,  -0.1257716034,  -1.5306471436,   0.6975582957,   1.2725029801
 44.0000,  -0.0000000000,  -0.1208330438,  -1.5391254755,   0.6419825912,   1.3195917201
 44.4000,   0.0000000001,  -0.1160878347,  -1.5469678965,   0.5853976402,   1.3622005805
 44.8000,  -0.0000000000,  -0.1115283980,  -1.5541729984,   0.5278890675,   1.4001797915
 45.2000,   0.0000000001,  -0.1071474224,  -1.5607359714,   0.4695509396,   1.4334054082
 45.6000,  -0.0000000001,  -0.1029379127,  -1.5666559559,   0.4104716030,   1.4617594771
 46.0000,   0.0000000001,  -0.0988931175,  -1.5719286495,   0.3507476410,   1.4851508102
 46.4000,  -0.0000000001,  -0.0950065797,  -1.5765537497,   0.2904695354,   1.5034947913
 46.8000,   0.0000000001,  -0.0912720645,  -1.5805274616,   0.2297358083,   1.5167343084
 47.2000,  -0.0000000001,  -0.0876836115,  -1.5838500474,   0.1686384765,   1.5248191492
 47.6000,   0.0000000001,  -0.0842354626,  -1.5865182185,   0.1072774117,   1.5277271359
