  x        ,A_vet_1        ,A_vet_2        ,A_vet_3        ,A_vet_4        ,A_vet_5
100.5025,  -0.0000147103,   0.0010012986,   1.5000662842,  -0.6086426283,   1.2192731233
101.3065,   0.0000152905,   0.0009043054,   1.4941669328,  -0.6598692342,   1.1677588637
102.1106,  -0.0000158652,   0.0008549356,   1.4877166490,  -0.7101313000,   1.1127978818
102.9146,   0.0000164347,   0.0007676166,   1.4807932130,  -0.7594888824,   1.0543372401
103.7186,  -0.0000169984,   0.0007304305,   1.4733207684,  -0.8077413929,   0.9927829429
104.5226,   0.0000175564,   0.0006511309,   1.4653827746,  -0.8549605218,   0.9280866131
105.3266,  -0.0000181083,   0.0006245337,   1.4568984427,  -0.9009397876,   0.8606886134
106.1307,   0.0000186540,   0.0005518523,   1.4479568133,  -0.9457627221,   0.7905431206
106.9347,  -0.0000191931,   0.0005344784,   1.4384722595,  -0.9892174602,   0.7181221765
107.7387,   0.0000197257,   0.0004672301,   1.4285392974,  -1.0313995555,   0.6433803071
108.5427,  -0.0000202512,   0.0004579086,   1.4180675625,  -1.0720922617,   0.5668183341
109.3467,   0.0000207698,   0.0003950930,   1.4071569343,  -1.1114033058,   0.4883887614
110.1508,  -0.0000212808,   0.0003928186,   1.3957124169,  -1.1491115527,   0.4086181008
110.9548,   0.0000217845,   0.0003335930,   1.3838391337,  -1.1853370227,   0.3274543288
111.7588,  -0.0000222802,   0.0003375003,   1.3714375705,  -1.2198546745,   0.2454464023
112.5628,   0.0000227680,   0.0002811567,   1.3586179677,  -1.2527969082,   0.1625351659
113.3668,  -0.0000232474,   0.0002904997,   1.3452764118,  -1.2839352469,   0.0792886543
114.1709,   0.0000237184,   0.0002364456,   1.3315281258,  -1.3134145224,  -0.0043620862
114.9749,  -0.0000241804,   0.0002505788,   1.3172649234,  -1.3410032789,  -0.0878333952
115.7789,   0.0000246336,   0.0001983205,   1.3026068681,  -1.3668587952,  -0.1712067169
116.5829,  -0.0000250772,   0.0002166838,   1.2874416334,  -1.3907470797,  -0.2538862660
117.3869,   0.0000255114,   0.0001658123,   1.2718939732,  -1.4128378347,  -0.3359686552
118.1910,  -0.0000259354,   0.0001879175,   1.2558475617,  -1.4328949613,  -0.4168494877
118.9950,   0.0000263494,   0.0001380969,   1.2394316844,  -1.4511005217,  -0.4966431704
119.7990,  -0.0000267527,   0.0001635164,   1.2225261641,  -1.4672167224,  -0.5747401843
120.6030,   0.0000271452,   0.0001144738,   1.2052646506,  -1.4814378806,  -0.6512752649
121.4070,  -0.0000275263,   0.0001428307,   1.1875232720,  -1.4935249059,  -0.7256372011
122.2111,   0.0000278960,   0.0000943479,   1.1694398653,  -1.5036842213,  -0.7979834614
123.0151,  -0.0000282535,   0.0001253076,   1.1508870299,  -1.5116758224,  -0.8677044799
123.8191,   0.0000285987,   0.0000772138,   1.1320066023,  -1.5177180435,  -0.9349826959
124.6231,  -0.0000289308,   0.0001104769,   1.1126678290,  -1.5215703354,  -0.9992134003
125.4271,   0.0000292498,   0.0000626435,   1.0930163473,  -1.5234627012,  -1.0606060368
126.2312,  -0.0000295547,   0.0000979391,   1.0729182381,  -1.5231544029,  -1.1185638121
127.0352,   0.0000298453,   0.0000502742,   1.0525227273,  -1.5208868200,  -1.1733249678
127.8392,  -0.0000301207,   0.0000873543,   1.0316929309,  -1.5164193723,  -1.2243035061
128.6432,   0.0000303807,   0.0000397999,   1.0105814367,  -1.5100044692,  -1.2717679857
129.4472,  -0.0000306241,   0.0000784342,   0.9890486116,  -1.5014020281,  -1.3151458837
130.2513,   0.0000308506,   0.0000309627,   0.9672501609,  -1.4908750842,  -1.3547372877
131.0553,  -0.0000310589,   0.0000709341,   0.9450439364,  -1.4781843910,  -1.3899856126
131.8593,   0.0000312486,   0.0000235468,   0.9225884963,  -1.4636031421,  -1.4212233456
132.6633,  -0.0000314181,   0.0000646467,   0.8997394333,  -1.4468932703,  -1.4479120759
133.4673,   0.0000315669,   0.0000173729,   0.8766578684,  -1.4283375904,  -1.4704171879
134.2714,  -0.0000316933,   0.0000593967,   0.8531974190,  -1.4076995719,  -1.4882204532
135.0754,   0.0000317963,   0.0000122931,   0.8295214472,  -1.3852710333,  -1.5017202428
135.8794,  -0.0000318738,   0.0000550356,   0.8054819135,  -1.3608173654,  -1.5104202977
136.6834,   0.0000319247,   0.0000081881,   0.7812440594,  -1.3346386786,  -1.5147516194
137.4874,  -0.0000319466,   0.0000514381,   0.7566585527,  -1.3065027157,  -1.5142415054
