  x        ,A_vet_1        ,A_vet_2        ,A_vet_3        ,A_vet_4        ,A_vet_5
  23.5000000,  -0.0000047010,   0.0542776406,   0.0594639151,   0.1940289491,  -0.0826591247
  23.7500000,  -0.0000040018,   0.0529252747,   0.0613587865,   0.1936120713,  -0.0718223055
  24.0000000,  -0.0000034381,   0.0516059090,   0.0632208152,   0.1928116960,  -0.0606999455
  24.2500000,  -0.0000028299,   0.0503178783,   0.0650301650,   0.1916761179,  -0.0492591460
  24.5000000,  -0.0000023009,   0.0490611767,   0.0668019860,   0.1901658042,  -0.0376147384
  24.7500000,  -0.0000019882,   0.0478359798,   0.0685517906,   0.1882362244,  -0.0258875703
  25.0000000,  -0.0000017394,   0.0466406061,   0.0702635866,   0.1859364235,  -0.0140567458
  25.2500000,  -0.0000014035,   0.0454732808,   0.0719221903,   0.1833190077,  -0.0021013464
  25.5000000,  -0.0000011121,   0.0443343478,   0.0735403952,   0.1803405449,   0.0098619058
  25.7500000,  -0.0000009899,   0.0432242095,   0.0751293227,   0.1769586075,   0.0217202686
  26.0000000,  -0.0000008926,   0.0421409659,   0.0766758389,   0.1732317279,   0.0334930815
  26.2500000,  -0.0000006937,   0.0410827727,   0.0781692019,   0.1692154593,   0.0451919221
  26.5000000,  -0.0000005252,   0.0400503294,   0.0796191966,   0.1648626431,   0.0567030262
  26.7500000,  -0.0000004954,   0.0390442165,   0.0810328286,   0.1601339753,   0.0679252133
  27.0000000,  -0.0000004685,   0.0380623034,   0.0824004791,   0.1550968580,   0.0788776074
  27.2500000,  -0.0000003402,   0.0371027160,   0.0837155470,   0.1498084063,   0.0895653251
  27.5000000,  -0.0000002375,   0.0361665083,   0.0849841853,   0.1442179930,   0.0998824154
  27.7500000,  -0.0000002505,   0.0352543888,   0.0862096437,   0.1382902912,   0.1097423473
  28.0000000,  -0.0000002540,   0.0343639907,   0.0873864401,   0.1321006998,   0.1191651496
  28.2500000,  -0.0000001642,   0.0334934489,   0.0885117283,   0.1257065178,   0.1281524016
  28.5000000,  -0.0000000986,   0.0326441645,   0.0895874433,   0.1190539938,   0.1366106016
  28.7500000,  -0.0000001292,   0.0318169250,   0.0906135193,   0.1121124555,   0.1444703869
  29.0000000,  -0.0000001434,   0.0310091273,   0.0915891879,   0.1049641877,   0.1517534265
  29.2500000,  -0.0000000769,   0.0302189537,   0.0925148925,   0.0976653309,   0.1584605438
  29.5000000,  -0.0000000339,   0.0294481390,   0.0933878103,   0.0901594440,   0.1645148955
  29.7500000,  -0.0000000685,   0.0286975016,   0.0942050742,   0.0824210028,   0.1698660621
  30.0000000,  -0.0000000841,   0.0279642090,   0.0949711541,   0.0745378495,   0.1745375589
  30.2500000,  -0.0000000343,   0.0272465282,   0.0956892446,   0.0665636915,   0.1785319322
  30.5000000,  -0.0000000061,   0.0265465078,   0.0963512789,   0.0584399252,   0.1817926032
  30.7500000,  -0.0000000373,   0.0258649521,   0.0969521705,   0.0501464790,   0.1842889839
  31.0000000,  -0.0000000503,   0.0251988123,   0.0975020926,   0.0417752305,   0.1860460018
  31.2500000,  -0.0000000144,   0.0245464748,   0.0980063865,   0.0333762778,   0.1870699766
  31.5000000,   0.0000000034,   0.0239102770,   0.0984513161,   0.0248894800,   0.1873274609
